CLIENTNUM;Attrition_Flag;Customer_Age;Gender;Dependent_count;Education_Level;Marital_Status;Income_Category;Card_Category;Months_on_book;Months_Inactive_12_mon
768805383;Existing Customer;45;M;3;High School;Married;$60K - $80K;Blue;39;1
818770008;Existing Customer;49;F;5;Graduate;Single;Less than $40K;Blue;44;1
713982108;Existing Customer;51;M;3;Graduate;Married;$80K - $120K;Blue;36;1
769911858;Existing Customer;40;F;4;High School;Unknown;Less than $40K;Blue;34;4
709106358;Existing Customer;40;M;3;Uneducated;Married;$60K - $80K;Blue;21;1
713061558;Existing Customer;44;M;2;Graduate;Married;$40K - $60K;Blue;36;1
810347208;Existing Customer;51;M;4;Unknown;Married;$120K +;Gold;46;1
818906208;Existing Customer;32;M;0;High School;Unknown;$60K - $80K;Silver;27;2
710930508;Existing Customer;37;M;3;Uneducated;Single;$60K - $80K;Blue;36;2
719661558;Existing Customer;48;M;2;Graduate;Single;$80K - $120K;Blue;36;3
708790833;Existing Customer;42;M;5;Uneducated;Unknown;$120K +;Blue;31;3
710821833;Existing Customer;65;M;1;Unknown;Married;$40K - $60K;Blue;54;2
710599683;Existing Customer;56;M;1;College;Single;$80K - $120K;Blue;36;6
816082233;Existing Customer;35;M;3;Graduate;Unknown;$60K - $80K;Blue;30;1
712396908;Existing Customer;57;F;2;Graduate;Married;Less than $40K;Blue;48;2
714885258;Existing Customer;44;M;4;Unknown;Unknown;$80K - $120K;Blue;37;1
709967358;Existing Customer;48;M;4;Post-Graduate;Single;$80K - $120K;Blue;36;2
753327333;Existing Customer;41;M;3;Unknown;Married;$80K - $120K;Blue;34;4
806160108;Existing Customer;61;M;1;High School;Married;$40K - $60K;Blue;56;2
709327383;Existing Customer;45;F;2;Graduate;Married;Unknown;Blue;37;1
806165208;Existing Customer;47;M;1;Doctorate;Divorced;$60K - $80K;Blue;42;2
708508758;Attrited Customer;62;F;0;Graduate;Married;Less than $40K;Blue;49;3
784725333;Existing Customer;41;M;3;High School;Married;$40K - $60K;Blue;33;2
811604133;Existing Customer;47;F;4;Unknown;Single;Less than $40K;Blue;36;3
789124683;Existing Customer;54;M;2;Unknown;Married;$80K - $120K;Blue;42;2
